feature_subset,feature_indices,model,mean_accuracy,std_accuracy
F1: 全部特征,"[0, 1, 2, 3]",KNN,0.9613,0.0518
F1: 全部特征,"[0, 1, 2, 3]",决策树,0.9493,0.0543
F1: 全部特征,"[0, 1, 2, 3]",随机森林,0.9587,0.0531
F2: 仅花瓣,"[2, 3]",KNN,0.9627,0.0484
F2: 仅花瓣,"[2, 3]",决策树,0.9453,0.0576
F2: 仅花瓣,"[2, 3]",随机森林,0.9613,0.0535
F3: 仅花萼,"[0, 1]",KNN,0.7707,0.1026
F3: 仅花萼,"[0, 1]",决策树,0.7507,0.1005
F3: 仅花萼,"[0, 1]",随机森林,0.7347,0.0899
F4: 花萼长+花瓣长,"[0, 2]",KNN,0.916,0.0608
F4: 花萼长+花瓣长,"[0, 2]",决策树,0.9413,0.0688
F4: 花萼长+花瓣长,"[0, 2]",随机森林,0.944,0.0644
F5: 花萼宽+花瓣宽,"[1, 3]",KNN,0.9507,0.0608
F5: 花萼宽+花瓣宽,"[1, 3]",决策树,0.9373,0.0556
F5: 花萼宽+花瓣宽,"[1, 3]",随机森林,0.9267,0.0657
