train_ratio,train_samples,model,mean_accuracy,std_accuracy
0.1,15,KNN,0.3333,0.0
0.1,15,决策树,0.8556,0.0488
0.1,15,随机森林,0.9319,0.0236
0.2,30,KNN,0.8542,0.0172
0.2,30,决策树,0.9192,0.0506
0.2,30,随机森林,0.9408,0.0212
0.3,45,KNN,0.8724,0.0336
0.3,45,决策树,0.939,0.0352
0.3,45,随机森林,0.941,0.0288
0.4,60,KNN,0.8811,0.0281
0.4,60,决策树,0.9278,0.0545
0.4,60,随机森林,0.9444,0.0199
0.5,75,KNN,0.9147,0.0455
0.5,75,决策树,0.924,0.0396
0.5,75,随机森林,0.9373,0.0353
0.7,105,KNN,0.9478,0.0222
0.7,105,决策树,0.9304,0.0272
0.7,105,随机森林,0.9478,0.0261
0.85,127,KNN,0.9739,0.0288
0.85,127,决策树,0.9478,0.0261
0.85,127,随机森林,0.9609,0.0304
